,subject,age,age_rounded,gender,question_type,trial_number,trial_type,correct,trial_name
122,BHLcQQ,3.78,3,m,harder,5,simple,1,Num_Stab
123,BHLcQQ,3.78,3,m,harder,6,simple,1,Number2
124,BHLcQQ,3.78,3,m,harder,7,complex,0,Process3
125,BHLcQQ,3.78,3,m,harder,8,complex,1,Process1
126,BHLcQQ,3.78,3,m,harder,9,complex,0,Process2
127,BHLcQQ,3.78,3,m,harder,10,complex,0,Probability
128,BHLcQQ,3.78,3,m,harder,11,agent,1,Cooperation
129,BHLcQQ,3.78,3,m,harder,12,agent,1,Sling
130,BHLcQQ,3.78,3,m,harder,13,agent,1,Child_Adult
131,QLT7EA,3.78,3,m,easier,1,simple,0,Number2
132,QLT7EA,3.78,3,m,easier,2,simple,1,Stability1
133,QLT7EA,3.78,3,m,easier,3,simple,1,Number4
134,QLT7EA,3.78,3,m,easier,4,simple,0,Number3
135,QLT7EA,3.78,3,m,easier,5,simple,1,Number1
136,QLT7EA,3.78,3,m,easier,6,simple,0,Num_Stab
137,QLT7EA,3.78,3,m,easier,7,complex,0,Process1
138,QLT7EA,3.78,3,m,easier,8,complex,0,Process2
139,QLT7EA,3.78,3,m,easier,9,complex,0,Probability
140,QLT7EA,3.78,3,m,easier,10,complex,0,Process3
141,QLT7EA,3.78,3,m,easier,11,agent,0,Child_Adult
142,QLT7EA,3.78,3,m,easier,12,agent,1,Sling
143,QLT7EA,3.78,3,m,easier,13,agent,1,Cooperation
144,UKNJRK,3.69,3,m,harder,1,simple,1,Number3
145,UKNJRK,3.69,3,m,harder,2,simple,1,Number1
146,UKNJRK,3.69,3,m,harder,3,simple,1,Number2
147,UKNJRK,3.69,3,m,harder,4,simple,1,Stability1
148,UKNJRK,3.69,3,m,harder,5,simple,1,Num_Stab
149,UKNJRK,3.69,3,m,harder,6,simple,1,Number4
150,UKNJRK,3.69,3,m,harder,7,complex,1,Process3
151,UKNJRK,3.69,3,m,harder,8,complex,1,Process2
152,UKNJRK,3.69,3,m,harder,9,complex,0,Probability
153,UKNJRK,3.69,3,m,harder,10,complex,1,Process1
154,UKNJRK,3.69,3,m,harder,11,agent,0,Child_Adult
155,UKNJRK,3.69,3,m,harder,12,agent,1,Sling
156,UKNJRK,3.69,3,m,harder,13,agent,0,Cooperation
157,Q4U47M,3.12,3,m,harder,1,simple,1,Number2
158,Q4U47M,3.12,3,m,harder,2,simple,1,Number1
159,Q4U47M,3.12,3,m,harder,3,simple,1,Stability1
160,Q4U47M,3.12,3,m,harder,4,simple,1,Number3
161,Q4U47M,3.12,3,m,harder,5,simple,1,Number4
162,Q4U47M,3.12,3,m,harder,6,simple,1,Num_Stab
163,Q4U47M,3.12,3,m,harder,7,complex,1,Probability
164,Q4U47M,3.12,3,m,harder,8,complex,0,Process1
165,Q4U47M,3.12,3,m,harder,9,complex,1,Process3
166,Q4U47M,3.12,3,m,harder,10,complex,1,Process2
167,Q4U47M,3.12,3,m,harder,11,agent,1,Child_Adult
168,Q4U47M,3.12,3,m,harder,12,agent,0,Sling
169,Q4U47M,3.12,3,m,harder,13,agent,0,Cooperation
170,W5JWdB,3.45,3,m,easier,1,simple,1,Stability1
171,W5JWdB,3.45,3,m,easier,2,simple,0,Number4
172,W5JWdB,3.45,3,m,easier,3,simple,1,Num_Stab
173,W5JWdB,3.45,3,m,easier,4,simple,1,Number1
174,W5JWdB,3.45,3,m,easier,5,simple,0,Number3
175,W5JWdB,3.45,3,m,easier,6,simple,1,Number2
176,W5JWdB,3.45,3,m,easier,7,complex,0,Probability
177,W5JWdB,3.45,3,m,easier,8,complex,1,Process2
178,W5JWdB,3.45,3,m,easier,9,complex,1,Process3
179,W5JWdB,3.45,3,m,easier,10,complex,0,Process1
180,W5JWdB,3.45,3,m,easier,11,agent,1,Sling
181,W5JWdB,3.45,3,m,easier,12,agent,0,Child_Adult
182,W5JWdB,3.45,3,m,easier,13,agent,1,Cooperation
183,DRFSJP,3.78,3,f,easier,1,simple,0,Number4
184,DRFSJP,3.78,3,f,easier,2,simple,0,Number1
185,DRFSJP,3.78,3,f,easier,3,simple,0,Stability1
186,DRFSJP,3.78,3,f,easier,4,simple,0,Number2
187,DRFSJP,3.78,3,f,easier,5,simple,0,Number3
188,DRFSJP,3.78,3,f,easier,6,simple,0,Num_Stab
189,DRFSJP,3.78,3,f,easier,7,complex,0,Process3
190,DRFSJP,3.78,3,f,easier,8,complex,0,Probability
191,DRFSJP,3.78,3,f,easier,9,complex,0,Process2
192,FHPYGc,3.28,3,f,harder,1,simple,0,Number1
193,FHPYGc,3.28,3,f,harder,2,simple,0,Num_Stab
194,FHPYGc,3.28,3,f,harder,3,simple,0,Number3
195,FHPYGc,3.28,3,f,harder,4,simple,0,Stability1
196,FHPYGc,3.28,3,f,harder,5,simple,1,Number2
197,FHPYGc,3.28,3,f,harder,6,simple,0,Number4
198,FHPYGc,3.28,3,f,harder,7,complex,0,Process3
199,FHPYGc,3.28,3,f,harder,8,complex,1,Process1
200,FHPYGc,3.28,3,f,harder,9,complex,0,Probability
201,FHPYGc,3.28,3,f,harder,10,complex,1,Process2
202,FHPYGc,3.28,3,f,harder,11,agent,0,Sling
203,FHPYGc,3.28,3,f,harder,12,agent,1,Child_Adult
204,FHPYGc,3.28,3,f,harder,13,agent,0,Cooperation
205,5ALPZR,3.69,3,f,easier,1,simple,0,Number2
206,5ALPZR,3.69,3,f,easier,2,simple,0,Number4
207,5ALPZR,3.69,3,f,easier,3,simple,0,Num_Stab
208,5ALPZR,3.69,3,f,easier,4,simple,1,Number1
209,5ALPZR,3.69,3,f,easier,5,simple,1,Stability1
