"id","Friction_Level","Gender","Age","Tower_Type","Difficulty","Time"
"29912987","High","Female","18-21","10 Vertical",7,60
"63765461","High","Female","18-21","10 Vertical",8,220
"45338874","High","Female","18-21","10 Vertical",10,1200
"70386245","High","Male","22-25","10 Vertical",7,75
"35207737","High","Female","18-21","10 Vertical",4,95
"82493764","Low","Male","18-21","10 Vertical",10,900
"89751437","High","Female","18-21","10 Vertical",7,420
"43205188","High","Male","41-45","3x3",4,180
"92604790","Low","Female","18-21","3x3",8,120
"80075120","High","Female","26-30","3x3",5,45
"67121004","Low","Female","22-25","3x3",7,180
"13976819","Low","Female","18-21","3x3",5,300
"21374483","High","Female","18-21","3x3",5,270
"39791663","Low","Male","18-21","3x3",6,180
"24027787","High","Male","18-21","3x3",5,120
"91626975","High","Female","18-21","3x3",4,180
"41260218","High","Female","18-21","3x3",3,25
"41695379","Low","Female","18-21","3x3",5,420
"94013566","High","Male","18-21","3x3",3,70
"29609510","High","Female","18-21","3x3",7,480
"58153014","Low","Female ","18-21","3x3",3,150
"24224636","High","Female","18-21","3x3",9,420
"40092175","Low","Male","18-21","3x3",8,1800
"19927848","Low","Female","18-21","3x3",7,120
"87545205","Low","Female","18-21","3x3",7,120
"29681170","High","Female","18-21","3x3",8,NA
"47086925","Low","Male","22-25","3x3",10,150
"61385450","Low","Male","18-21","3x3",6,900
"74761242","High","Female","18-21","3x3",7,150
"43974880","High","Female","18-21","3x3",8,175
"67637968","Low","Female","18-21","3x3",8,180
"86162389","Low","Male","18-21","3x3",5,120
"63276094","High","Male","18-21","3x3",5,90
"37751379","Low","Male","18-21","3x3",8,300
"78738374","Low","Male ","18-21","3x3",4,35
"53010697","Low","Female","22-25","3x3",8,900
"12523894","High","Female","18-21","3x3",7,75
"61167533","Low","Female","18-21","3x3",9,150
"56609010","Low","Female","18-21","3x3",6,310
"41684719","Low","Male","18-21","3x3",9,600
"29912987","High","Female","18-21","3x3",5,60
"63765461","High","Female","18-21","3x3",6,210
"45338874","High","Female","18-21","3x3",10,600
"70386245","High","Male","22-25","3x3",5,50
"35207737","High","Female","18-21","3x3",4,60
"82493764","Low","Male","18-21","3x3",6,90
"89751437","High","Female","18-21","3x3",7,300
"43205188","High","Male","41-45","L-Shaped",4,210
"92604790","Low","Female","18-21","L-Shaped",8,180
"80075120","High","Female","26-30","L-Shaped",6,60
"67121004","Low","Female","22-25","L-Shaped",6,180
"13976819","Low","Female","18-21","L-Shaped",5,120
"21374483","High","Female","18-21","L-Shaped",6,300
"39791663","Low","Male","18-21","L-Shaped",7,360
"24027787","High","Male","18-21","L-Shaped",6,180
"91626975","High","Female","18-21","L-Shaped",4,60
"41260218","High","Female","18-21","L-Shaped",4,35
"41695379","Low","Female","18-21","L-Shaped",9,780
"94013566","High","Male","18-21","L-Shaped",5,65
"29609510","High","Female","18-21","L-Shaped",6,420
"58153014","Low","Female ","18-21","L-Shaped",7,1500
"24224636","High","Female","18-21","L-Shaped",10,1200
"40092175","Low","Male","18-21","L-Shaped",10,2400
"19927848","Low","Female","18-21","L-Shaped",8,120
"87545205","Low","Female","18-21","L-Shaped",8,105
"29681170","High","Female","18-21","L-Shaped",7,60
"47086925","Low","Male","22-25","L-Shaped",10,300
"61385450","Low","Male","18-21","L-Shaped",10,1800
"74761242","High","Female","18-21","L-Shaped",8,210
"43974880","High","Female","18-21","L-Shaped",9,180
"67637968","Low","Female","18-21","L-Shaped",7,150
"86162389","Low","Male","18-21","L-Shaped",7,180
"63276094","High","Male","18-21","L-Shaped",7,120
"37751379","Low","Male","18-21","L-Shaped",7,210
"78738374","Low","Male ","18-21","L-Shaped",4,45
"53010697","Low","Female","22-25","L-Shaped",9,3000
"12523894","High","Female","18-21","L-Shaped",6,120
"61167533","Low","Female","18-21","L-Shaped",8,120
"56609010","Low","Female","18-21","L-Shaped",9,150
"41684719","Low","Male","18-21","L-Shaped",8,480
"29912987","High","Female","18-21","L-Shaped",7,70
"63765461","High","Female","18-21","L-Shaped",7,200
"45338874","High","Female","18-21","L-Shaped",10,1500
"70386245","High","Male","22-25","L-Shaped",5,60
"35207737","High","Female","18-21","L-Shaped",4,60
"82493764","Low","Male","18-21","L-Shaped",8,240
"89751437","High","Female","18-21","L-Shaped",6,240
