trial_name,run_num,trial_tree_path,trial_symbolic_plan,trial_symbolic_plan_len,KE,total_instability
diff 12_2,1,1_1_9_1_8_1_9_1_8_1_7_1_8_1_7_1_6_1_5_1_7_1_6_1_5_1_4_1_3_1_5_1_4_1_3_1_2_1_4_1_4_1_4_1_4_1_3_1_4_1,"[[GR b0], [FR b0 table], [GL b1], [FL b1 b0], [GL b2], [FL b2 b1], [GL b1], [FL b1 b0], [GL b2], [FL b2 b1], [GR b3], [FR b3 b2], [GL b2], [FL b2 b1], [GL b3], [FL b3 b2], [GL b4], [FL b4 b3], [GL b5], [FL b5 b4], [GR b3], [FR b3 b2], [GR b4], [FR b4 b3], [GR b5], [FR b5 b4], [GR b6], [FR b6 b5], [GR b7], [FR b7 b6], [GL b5], [FL b5 b4], [GL b6], [FL b6 b5], [GL b7], [FL b7 b6], [GL b8], [FL b8 b7], [GR b6], [FR b6 b5], [GR b6], [FR b6 b5], [GL b6], [FL b6 b5], [GR b6], [FR b6 b5], [GR b7], [FR b7 b6], [GL b6], [FL b6 b5]]",50,1110.23921,15
diff 31_1,1,1_1_1_1,"[[GL b1], [FL b1 c7], [GR b0], [FR b0 c3]]",4,91.3266,0
diff 19_2,1,1_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1_9_1_8_1_7_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_9_1_9_1_8_1_7_1_6_1,"[[GL b0], [FL b0 table], [GR c0], [FR c0 b0], [GL b1], [FL b1 c0], [GL c1], [FL c1 b1], [GR b2], [FR b2 c1], [GR c2], [FR c2 b2], [GL b3], [FL b3 c2], [GR c3], [FR c3 b3], [GL b4], [FL b4 c3], [GR c4], [FR c4 b4], [GR c0], [FR c0 b0], [GR b1], [FR b1 c0], [GR c1], [FR c1 b1], [GR c0], [FR c0 b0], [GL b1], [FL b1 c0], [GL c1], [FL c1 b1], [GR b2], [FR b2 c1], [GR c2], [FR c2 b2], [GR b3], [FR b3 c2], [GL c3], [FL c3 b3], [GL c0], [FL c0 b0], [GL c0], [FL c0 b0], [GR b1], [FR b1 c0], [GR c1], [FR c1 b1], [GR b2], [FR b2 c1]]",50,1253.95212,22
diff 19_1,1,1_1_9_1_8_1_7_1_6_1_5_1_6_1_5_1_8_1_8_1_8_1_8_1_8_1_8_1_8_1_8_1_8_1_8_1_8_1_8_1_8_1_8_1_8_1_7_1_8_1,"[[GL b0], [FL b0 table], [GR b1], [FR b1 b0], [GL b2], [FL b2 b1], [GR b3], [FR b3 b2], [GR b4], [FR b4 b3], [GL b5], [FL b5 b4], [GR b4], [FR b4 b3], [GR b5], [FR b5 b4], [GR b2], [FR b2 b1], [GR b2], [FR b2 b1], [GR b2], [FR b2 b1], [GL b2], [FL b2 b1], [GL b2], [FL b2 b1], [GL b2], [FL b2 b1], [GL b2], [FL b2 b1], [GL b2], [FL b2 b1], [GR b2], [FR b2 b1], [GL b2], [FL b2 b1], [GL b2], [FL b2 b1], [GR b2], [FR b2 b1], [GL b2], [FL b2 b1], [GR b2], [FR b2 b1], [GR b2], [FR b2 b1], [GR b3], [FR b3 b2], [GL b2], [FL b2 b1]]",50,1285.31515,19
diff 28_1,1,1_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GL b2], [FL b2 table], [GR b11], [FR b11 table], [GR b10], [FR b10 table], [GR b9], [FR b9 table], [GR b8], [FR b8 table], [GR b7], [FR b7 table], [GL b6], [FL b6 table], [GL b3], [FL b3 table], [GL b4], [FL b4 table], [GR b5], [FR b5 table]]",24,527.08671,0
diff 18_2,1,1_1_14_1_13_1_12_1_12_1_11_1_10_1_9_1_8_1_7_1_7_1_7_1_7_1_7_1_7_1_7_1_7_1_7_1_7_1_7_1_8_1_7_1_7_1_7_1_7_1,"[[GL b1], [FL b1 table], [GR b0], [FR b0 table], [GL c1], [FL c1 b1], [GR c0], [FR c0 b0], [GR c0], [FR c0 b0], [GL b3], [FL b3 c1], [GR b2], [FR b2 c0], [GL c3], [FL c3 b3], [GR c2], [FR c2 b2], [GR b5], [FR b5 c3], [GL b5], [FL b5 c3], [GL b5], [FL b5 c3], [GL b5], [FL b5 c3], [GR b5], [FR b5 c3], [GR b5], [FR b5 c3], [GR b5], [FR b5 c3], [GL b5], [FL b5 c3], [GL b5], [FL b5 c3], [GR b5], [FR b5 c3], [GL b5], [FL b5 c3], [GL c3], [FL c3 b3], [GL b5], [FL b5 c3], [GL b5], [FL b5 c3], [GR b5], [FR b5 c3], [GL b5], [FL b5 c3]]",50,1356.72731,13
diff 28_2,1,1_1_11_1_10_1_9_1_8_1_7_1_6_1_5_1_4_1_3_1_2_1_1_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GL b2], [FL b2 table], [GL b3], [FL b3 table], [GR b4], [FR b4 table], [GR b5], [FR b5 table], [GL b6], [FL b6 b2], [GR b7], [FR b7 b6], [GR b8], [FR b8 b7], [GL b9], [FL b9 b8], [GR b10], [FR b10 b9], [GR b11], [FR b11 b10], [GR b10], [FR b10 b9], [GR b11], [FR b11 b10]]",28,714.83277,1
diff 51_1,1,1_1_4_1_3_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GL b2], [FL b2 table], [GR b3], [FR b3 table], [GR b4], [FR b4 table]]",10,201.9867,0
diff 20_2,1,1_1_20_1_19_1_18_1_17_1_16_1_15_1_14_1_13_1_12_1_13_1_12_1_12_1_12_1_12_1_12_1_12_1_12_1_12_1_12_1_12_1_12_1_12_1_12_1_12_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 table], [GL b2], [FL b2 table], [GR b3], [FR b3 table], [GR b4], [FR b4 table], [GR b5], [FR b5 table], [GL b6], [FL b6 b1], [GR b7], [FR b7 b2], [GR b8], [FR b8 b4], [GL b9], [FL b9 b6], [GL b6], [FL b6 b1], [GR b9], [FR b9 b6], [GL b9], [FL b9 b6], [GL b9], [FL b9 b6], [GL b9], [FL b9 b6], [GL b9], [FL b9 b6], [GL b9], [FL b9 b6], [GR b9], [FR b9 b6], [GR b9], [FR b9 b6], [GR b9], [FR b9 b6], [GR b9], [FR b9 b6], [GL b9], [FL b9 b6], [GR b9], [FR b9 b6], [GL b9], [FL b9 b6], [GL b9], [FL b9 b6]]",50,1190.06641,17
diff 54_1,1,1_1_4_1_3_1_2_1_1_1,"[[GL b0], [FL b0 table], [GL b1], [FL b1 b0], [GR b2], [FR b2 b1], [GR b3], [FR b3 b2], [GL b4], [FL b4 b3]]",10,204.1349,0
